starid,Name,M,M_err,Lum,Lum_err,Teff,Teff_err,[Fe/H],age_min,age_max,med_age,age_err,logAge,logAge_err,logMass,logMass_err,logTeff,logLum
HD61421,Procyon,1.5,0.07,0.839,0.022,6554,84,0.01,1.5,2.5,2.0,0.5,9.301029995663981,0.10857362047581294,0.17609125905568124,0.02026707582215175,3.816506437046357,0.839
HD49933,HD 49933,1.17,0.06,0.547,0.005,6635,91,-0.41,2.0,4.0,3.0,1.0,9.477121254719663,0.14476482730108392,0.06818586174616162,0.02227151189247445,3.821840927200454,0.547
HD23249,delta Eri,1.13,0.05,0.468,0.0,4954,30,0.06,6.0,9.0,7.5,1.5,9.8750612633917,0.08685889638065036,0.05307844348341968,0.019216569995719107,3.694956002249818,0.468
HD121370,eta Boo,1.64,0.07,0.953,0.006,6099,28,0.32,2.0,3.0,2.5,0.5,9.397940008672037,0.08685889638065036,0.21484384804769785,0.01853695959343148,3.785258633357701,0.953
HD2151,beta Hyi,1.15,0.04,0.546,0.011,5873,45,-0.04,5.0,7.0,6.0,1.0,9.778151250383644,0.07238241365054196,0.06069784035361165,0.015105895022721801,3.768860000842957,0.546
HD128620,alpha Cen A,1.11,0.04,0.182,0.004,5792,16,0.26,4.0,7.0,5.5,1.5,9.740362689494244,0.11844394960997774,0.04532297878665747,0.015650251600117182,3.7628285531890904,0.182
HD128621,alpha Cen B,0.93,0.06,-0.298,0.006,5231,20,0.22,4.0,7.0,5.5,1.5,9.740362689494244,0.11844394960997774,-0.031517051446064856,0.028018998832467855,3.718584720027436,-0.298
HD146233,18 Sco,1.02,0.06,0.02,0.023,5810,80,0.03,3.0,5.0,4.0,1.0,9.602059991327963,0.10857362047581294,0.008600171761917567,0.025546734229603043,3.7641761323903307,0.02
HD102870,beta Vir,1.34,0.04,0.554,0.005,6083,41,0.24,2.0,4.0,3.0,1.0,9.477121254719663,0.14476482730108392,0.12710479836480765,0.012964014385171694,3.7841178164629232,0.554
HD62509,beta Gem,2.3,0.4,1.598,0.02,4858,60,0.13,0.8,1.5,1.15,0.3500000000000001,9.060697840353612,0.13217658144881578,0.36172783601759284,0.07552947511360901,3.6864575104691117,1.598
HD100407,xi Hya,2.84,0.12,1.784,0.011,5044,40,0.16,0.5,1.0,0.75,0.25,8.8750612633917,0.14476482730108392,0.45331834004703764,0.01835047106633458,3.702775077901044,1.784
HD22049,epsilon Eri,0.8,0.06,-0.49,0.009,5076,30,-0.09,0.4,0.9,0.65,0.25,8.812913356642856,0.16703633919355834,-0.09691001300805639,0.03257208614274388,3.7055216134226674,-0.49
,Sun,1.0,0.0,0.0,0.0,5771,1,0.0,,,4.57,,9.65991620006985,,0.0,0.0,3.761251074308663,0.0
